File Name	Model Name	Address	Unk_Flags_0X00	Unk_0x04	Unk_0x08	Unk_0x0C	Unk_0x10	Unk_Count	Unk_0x12	Vertexrenderflags	Unk_0x14	Tex0Index	Tex1Index	Tex2Index	Vertexdescriptorflags	Transformmatrixspecidicindices	Matdisplaylistsize	Tlmatdisplaylistsize	Uvwcoordinates	Unk_0x3C	Unk_0x40	Unk_0x44	Unk_0x48	Unk_0x4C	Unk_0x50	Unk_0x54	Unk_0x58	FifoPadding 0	FifoPadding 1	FifoPadding 2	FifoPadding 3	
	bg_fir,lz.gma	00122780	4	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS	65280	3	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	800	0	(0.0, 0.1, 3.3)	0	0	0	0	0	0	0	0	0	0	0	0	
bg_fir_s,lz.gma	bg_fir_s,lz.gma	000002C0	0	2998055679	1280068863	4294967295	42	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	16992	28928	(-158.5, 24.2, 121.6)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_fir_s,lz.gma	00037060	0	2998055679	1280068863	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	26560	19328	(0.0, 174.8, 2396.3)	0	0	0	0	0	0	0	0	0	0	0	0	
	null
	bg_fir_s,lz.gma	00087420	5	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	288	(0.0, 19.5, -0.9)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_fir_s,lz.gma	000879A0	5	4291592191	4291592191	0	0	255	1	RENDER_MATERIALS	65280	2	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	23872	0	(1531.3, 0.3, -653.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_fir_s,lz.gma	000963A0	101	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	288	(0.0, 14.5, -0.9)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_fir_s,lz.gma	00096B40	5	4291592191	4291592191	0	0	255	1	RENDER_MATERIALS	65280	2	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	77312	0	(2145.4, 12.8, -375.4)	0	0	0	0	0	0	0	0	0	0	0	0	
	null
	bg_fir_s,lz.gma	000CA920	101	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	288	(0.0, 12.5, -0.9)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_fir_s,lz.gma	000CB0E0	5	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	288	(0.0, 12.5, -0.9)	0	0	0	0	0	0	0	0	0	0	0	0	
bg_for,lz.gma	null
	null
	null
	null
	null
	null
	null
	null
	null
	bg_for,lz.gma	00000200	4	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	928	192	(0.0, 0.0, 0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_for,lz.gma	00000A40	4	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS	65280	2	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	800	0	(0.0, 0.1, 3.3)	0	0	0	0	0	0	0	0	0	0	0	0	
	null
	null
	null
	null
	null
	null
	null
	bg_for,lz.gma	00002260	2	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_for,lz.gma	000023C0	2	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	null
	bg_for,lz.gma	00002520	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	17	0	0	0	0	0	0	0	0	0	0	
	bg_for,lz.gma	00002680	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	512	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	384	1888	(0.0, 0.0, 0.0)	0	17	0	0	0	0	0	0	0	0	0	0	
bg_lig,lz.gma	bg_lig,lz.gma	000002C0	5	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00000420	5	4294967295	4284881407	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	384	9280	(0.0, 6626.7, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00002AA0	5	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00002C20	5	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	000030C0	5	255	255	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	24	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	4160	6208	(0.0, -5759.4, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000D560	5	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	0	(0.0, 0.0, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000D6E0	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	17	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000D840	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	17	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000D9E0	4	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	768	96	(0.0, 0.0, 0.5)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000E1C0	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	17	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000E3C0	4	4294967295	4294967295	0	0	255	1	RENDER_MATERIALS	65280	1	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	800	0	(0.0, 0.1, 3.3)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	0000FB20	1	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	3	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	416	0	(0.0, 0.1, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	000103E0	103	4294902015	2139062271	0	0	255	1	RENDER_TRANSLUCID_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	0	1120	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00010980	111	255	2139062271	0	0	255	2	RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	0	736	(0.0, 5.1, -6.3)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00011120	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	000112A0	101	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00011440	101	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	192	288	(0.0, -800.0, 10.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	000116E0	101	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	17	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00011840	103	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	000119E0	103	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00011D80	103	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00011F60	111	255	2139062271	0	0	255	2	RENDER_TRANSLUCID_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	0	736	(0.0, 5.1, -6.3)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00012700	103	4294902015	2139062271	0	0	255	1	RENDER_TRANSLUCID_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	0	1120	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_lig,lz.gma	00012C60	103	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	0	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0	System.Byte[]	160	0	(0.0, 0.0, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
bg_met,lz.gma	bg_met,lz.gma	000004A0	5	4286545919	4286545919	0	0	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	1888	23744	(0.0, -1063.1, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000069A0	103	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS	0	0	1	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	544	0	(0.0, 701.8, 0.9)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	00006C80	5	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	13504	0	(-1653.6, -157.9, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	0000A2A0	0	2998055679	2139062271	4294967295	42	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	3	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	1312	544	(0.0, 9.8, -9.4)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	0000C1E0	101	2998055679	2139062271	0	0	255	2	RENDER_MATERIALS	65280	3	4	65535	GX_VA_POS, GX_VA_NRM, GX_VA_CLR0, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	8704	0	(0.0, -263.6, 0.0)	0	20	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	00018520	1	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	24288	13248	(-270.2, 0.0, -23.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000219A0	0	1061109759	255	3435973887	17	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	2	3	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	1024	1024	(0.0, 2.2, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	0002B3E0	5	2998055679	2139062271	0	0	255	1	RENDER_MATERIALS	65280	0	65535	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0	System.Byte[]	23328	0	(0.6, -157.9, 0.0)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	000311C0	0	1061109759	255	3435973887	17	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	6	7	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	2080	15456	(0.0, 0.0, -166.9)	0	0	0	0	0	0	0	0	0	0	0	0	
	bg_met,lz.gma	0004F0E0	0	1061109759	255	3435973887	17	255	2	RENDER_MATERIALS, RENDER_TRANSLUCID_MATERIALS	65280	6	7	65535	GX_VA_POS, GX_VA_NRM, GX_VA_TEX0, GX_VA_TEX1	System.Byte[]	1504	10176	(178.7, 0.0, -192.2)	0	0	0	0	0	0	0	0	0	0	0	0	
