File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
baba_100.gma	baba_100.gma	00000020	_16Bit, StitchingModel	(0.0, 0.1, -0.1)	0.4507302	7	8	0	7	0	640	0	X	X	X	X	
baba_100.gma	baba_100.gma	00000020	_16Bit, StitchingModel	(0.0, 0.1, -0.1)	0.4507302	7	8	0	7	0	640	0	X	X	X	X	
baba_100.gma	baba_100.gma	00000020	_16Bit, StitchingModel	(0.0, 0.1, -0.1)	0.4507302	7	8	0	7	0	640	0	X	X	X	X	
baba_500.gma	baba_500.gma	00000020	_16Bit, StitchingModel	(0.0, -0.1, 0.0)	0.529745	18	21	0	15	0	1376	0	X	X	X	X	
baba_500.gma	baba_500.gma	00000020	_16Bit, StitchingModel	(0.0, -0.1, 0.0)	0.529745	18	21	0	15	0	1376	0	X	X	X	X	
baba_1000.gma	baba_1000.gma	00000020	_16Bit, StitchingModel	(0.0, -0.1, 0.0)	0.5305064	20	23	0	15	0	1440	0	X	X	X	X	
baba_3000.gma	baba_3000.gma	000000C0	_16Bit, StitchingModel	(0.0, -0.2, 0.0)	0.5278425	13	14	0	18	0	1344	0	X	X	X	X	
	baba_3000.gma	0000AA00	SkinModel	(0.0, 0.0, 0.1)	0.1214579	6	7	1	31	0	1760	0	X	X	X	X	
	baba_3000.gma	0001C5E0	SkinModel	(0.1, 0.0, 0.0)	0.07226642	1	1	0	16	0	864	0	X	X	X	X	
	baba_3000.gma	00023B80	SkinModel	(0.1, 0.0, 0.0)	0.07226642	1	1	0	16	0	864	0	X	X	X	X	
	baba_3000.gma	0002B180	EffectiveModel	(0.1, 0.0, 0.0)	0.1111156	2	2	0	0	0	128	0	X	X	X	X	
	baba_3000.gma	0002D2E0	EffectiveModel	(0.1, 0.0, 0.0)	0.1060902	2	2	0	0	0	128	0	X	X	X	X	
	baba_3000.gma	0002DC60	_16Bit, StitchingModel	(0.0, 0.0, 0.0)	0.1322826	3	1	0	1	0	224	0	X	X	X	X	
baba_face.gma	baba_face.gma	00000020	_16Bit	(0.0, 0.0, 0.0)	0.1352346	1	1	0	0	0	96	0	X	X	X	X	
baba_face.gma	baba_face.gma	00000020	_16Bit	(0.0, 0.0, 0.0)	0.1352346	1	1	0	0	0	96	0	X	X	X	X	
bbull.gma	bbull.gma	00000060	_16Bit	(0.0, 1.0, 0.0)	2.852975	38	21	5	0	0	1280	0	X	X	X	X	
	bbull.gma	0000BD80	_16Bit	(0.0, 0.9, 1.7)	1.920835	0	0	0	0	0	64	0	X	X	X	X	
	bbull.gma	0000BDC0	_16Bit	(0.0, 0.0, 0.1)	0.1569343	1	1	0	0	0	96	0	X	X	X	X	
bbull_02.gma	bbull_02.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.866849	32	18	4	0	0	1088	0	X	X	X	X	
bbull_02.gma	bbull_02.gma	00000040	_16Bit	(0.0, 1.0, 0.0)	2.866849	32	18	4	0	0	1088	0	X	X	X	X	
